TaskName,Date,Points
Add lists to GRL,20230107,869
Add convienience buttons in GRL,20230125,378
Add basic appearance to GRL,20221229,50
Tasks done after DT will yield a random bonus from 50 to 0.1% of next level requirement ,20230103,50
Think about to do ad DT and reset,20230325,803
Buy Muprocin,20230110,51
Buy fuse 5A,20230110,50
Extension,20230320,667
Increase usage,20230325,109
Learning chunks tab,20230325,76
Walk Tab,20230325,237
Pin GRL on homepage,20230125,334
Completed to do visibility limited,20230319,50
"""Add daily task"" gets shifted to to do BUG",20230214,542
Trimmer charge,20230213,50
Moulic pdf x3,20230214,50
Recurr bug,20230223,310
Wash bedsheet,20230224,312
vinod's pc reset,20230225,202
Rishabh tasks,20230225,834
Vinod laptop 2,20230226,104
2nd years session GC,20230227,571
Unstop quiz 24th march,20230304,50
Office install,20230227,460
Add DT feature,20230227,77
Fold clothes,20230301,50
Vinod cv,20230306,50
Dsai read all,20230307,50
Clothes,20230307,50
Confusion matrix,20230312,50
Confusion matrix ,20230312,50
Gc meet,20230312,50
Scrap gc,20230314,322
Laundry,20230318,50
Edit button for rt + Push edit button,20230324,50
Heat transfer complete ,20230325,349
Prince regarding dsai,20230322,67
RTSM check,20230325,456
Gandhi nom ml,20230326,108
Teach mos,20230326,198
hall day tejas,20230327,349
hall day saransh,20230327,101
cleaned room,20230327,475
Cf+-w complete,20230328,50
Mtm read,20230328,50
Fluid basic navier,20230328,50
Viva,20230328,50
Clothes for laundry,20230330,289
vinod push extension code,20230401,91
Moulic exam,20230331,292
find pain points and note them in ideapad,20230401,50
class song,20230408,50
Laundry,20230404,197
Create flask structure ,20230404,108
